date;open;high;low;close;volume
20020122;33,1;33,9;32,3;33,6;678520
20020121;32,25;33,3;32,24;33,27;536256
20020118;33,3;33,8;31,9;32;672333
20020117;31,1;33,19;30,94;33,05;836040
20020116;31;31,48;30,01;31,26;660060
20020115;31,58;32,41;30,82;30,97;713619
20020114;33,19;33,19;31,7;32;1095873
20020111;32,45;33,26;32,45;33,16;610926
20020110;32,05;33,09;31,83;32,87;961041
20020109;31,21;33;31,16;32,41;1166692
20020108;30,13;32,14;30,1;31,77;1185039
20020107;30,3;30,94;29,64;30,05;902095
20020104;29,75;30,9;29,5;30,2;752963
20020103;28;29,98;27,79;29,65;795168
20020102;27,75;28,47;26,91;28,34;258846
20011228;28,1;28,38;27,15;27,6;306006
20011227;27,5;28,55;27,5;28,15;283922
20011221;26;27,89;25;27,4;996166
20011220;27,46;27,87;26,31;26,46;385678
20011219;27,85;27,85;27,18;27,41;688925
20011218;28,32;28,82;27,59;27,85;698707
20011217;28,33;28,75;27,7;28,75;442475
20011214;28,39;29;28,1;28,1;401598
20011213;29,3;29,3;28,27;28,35;496247
20011212;29,14;29,14;28,25;28,73;448416
20011211;28,23;29,3;28,23;28,55;402680
20011210;28,3;28,8;27,5;28,6;320745
20011207;29,2;29,25;28,3;28,4;373988
20011206;29,3;29,84;28,75;29,15;520214
20011205;28,55;29,6;28,01;29,5;549161
20011204;28,19;28,3;27,57;28;413000
20011203;28,49;28,75;26,8;27,57;551129
20011130;28;29,2;27,58;28;646246
20011129;28,15;28,49;27,02;27,5;565040
20011128;28,51;29,09;28,1;28,5;461510
20011127;29,55;29,89;28,11;28,74;600609
20011126;30,4;30,99;29,33;29,8;523481
20011123;30,3;30,44;29,21;30,44;406886
20011122;30,99;30,99;29,55;30,2;276445
20011121;30,4;31,64;30,12;30,43;604460
20011120;30,45;31;28,98;30,95;445319
20011119;30,8;30,98;29,87;30,4;343223
20011116;29,73;31,25;29,5;30,01;788052
20011115;29,43;30,24;28,52;30,12;441297
20011114;28,9;29,9;28,75;28,92;440846
20011113;28,29;28,98;28,01;28,5;418562
20011112;28,99;29,09;26,25;28;601557
20011109;27,55;29;27,36;28,72;403289
20011108;27,1;28,6;26,84;28,31;802251
20011107;27,11;27,44;26,3;27,44;328423
20011106;27,12;27,3;26,61;26,9;457356
20011105;27,3;27,39;26,8;27,15;381619
20011102;27,5;27,64;26,26;26,99;754419
20011101;26,88;27,69;26,05;27,5;325440
20011031;26,19;26,98;26;26,93;403254
20011030;26,5;27,24;26,21;26,79;441874
20011029;28;28,37;26,75;27,1;481291
20011026;27,75;28,3;27,45;28,25;250977
20011025;28,2;28,66;26,71;27,51;546360
20011024;28;28,4;27,35;28,21;441250
20011023;27,88;27,92;27,15;27,69;355797
20011022;27;28,1;26,43;27,55;241141
20011019;26,65;27,27;26,06;26,73;628417
20011018;26,7;27,88;26,03;27;387512
20011017;27,2;29,26;26,52;27,09;757898
20011016;26,5;27,67;26,3;27,28;497647
20011015;25,99;26,5;25,2;26,18;306627
20011012;27,2;27,4;25,73;26;519768
20011011;25,84;27,99;25,62;27,09;932307
20011009;25,33;26;24,66;24,74;390550
20011008;24,7;26,23;24,51;25,65;670008
20011005;25,14;27,1;24,55;24,87;779470
