"ratio_2d4d","grip_kg","sex"
1.0407986111,19.9815498155,"female"
0.9125578704,19.4649446494,"female"
0.9157986111,18.9852398524,"female"
0.9396990741,18.9872898729,"female"
0.9493634259,18.9852398524,"female"
0.9583333333,19.0036900369,"female"
0.9720486111,18.9852398524,"female"
1.0193287037,18.9835625629,"female"
0.942456427,17.9791621446,"female"
0.9842361111,17.9741697417,"female"
0.9898919753,17.9704797048,"female"
0.9998842593,17.9704797048,"female"
1.0032407407,17.9704797048,"female"
1.0240740741,17.9704797048,"female"
1.0599652778,17.9778597786,"female"
1.0005116959,16.9838803651,"female"
1.0099279835,16.9782697827,"female"
0.9553240741,16.9741697417,"female"
0.9959490741,16.9741697417,"female"
0.9247942387,14.9651496515,"female"
0.9547619048,14.9587067299,"female"
0.9778143275,14.9563021946,"female"
0.9812865497,14.9563021946,"female"
0.9907150206,14.9651496515,"female"
0.9998987269,14.963099631,"female"
0.9286405724,13.9718215364,"female"
0.9396990741,13.9688396884,"female"
0.975,13.9852398524,"female"
1.0318011464,13.9676682481,"female"
1.0549768519,13.9688396884,"female"
1.0349537037,12.9675665178,"female"
0.9547800926,11.9667896679,"female"
0.9296840959,11.4586498806,"female"
1.0179398148,9.963099631,"female"
1.021882716,8.9569495695,"female"
0.9467592593,22.9151291513,"female"
0.9969907407,21.8081180812,"female"
1.0002314815,24.8339483395,"female"
0.999537037,24.9077490775,"female"
0.9891203704,23.9483394834,"female"
0.987962963,23.8007380074,"female"
0.9759259259,18.9298892989,"female"
0.9752314815,18.9298892989,"female"
0.9766203704,9.926199262,"female"
0.975462963,9.852398524,"female"
0.9511574074,20.7749077491,"female"
0.9502314815,20.8487084871,"female"
0.9706018519,23.8745387454,"female"
0.9696759259,23.8745387454,"female"
